number_of_vertices,time_of_ILP_program
10,0.1552171609999995
20,0.26536339899999817
30,0.37226667899999555
40,0.47845626900000937
50,0.5850321910000815
60,0.6979789519999215
70,0.8087530529997906
80,0.9251887719997143
90,1.043028024999586
100,1.1575646459999973
110,1.2380591320016947
120,1.3853935320002506
130,1.5058934540005566
140,1.6229562649986633
150,1.712257318997331
160,1.8518265249989554
170,1.9685212419996105
180,2.080112514002167
190,2.2086450369988597
200,2.340679717001194
