"","n","time1","time2"
"1",5,0.0211811065673828,0.181843042373657
"2",6,0.0556530952453613,0.244801044464111
"3",7,0.026108980178833,0.227067947387695
"4",8,0.0321969985961914,0.272632837295532
"5",9,0.0315580368041992,0.34123706817627
"6",10,0.0375320911407471,0.305379152297974
"7",11,0.0419418811798096,0.324264049530029
"8",12,0.0460071563720703,0.443969964981079
"9",13,0.0516140460968018,0.391538858413696
"10",14,0.0521771907806396,0.514482021331787
"11",15,0.0582888126373291,0.460623025894165
"12",16,0.0822300910949707,0.572638988494873
"13",17,0.0566079616546631,0.619059085845947
"14",18,0.0675148963928223,0.579144954681396
"15",19,0.0679950714111328,0.710559129714966
"16",20,0.0697000026702881,0.75600004196167
"17",21,0.084036111831665,0.782323122024536
"18",22,0.0852870941162109,0.821536064147949
"19",23,0.0870292186737061,0.869114875793457
"20",24,0.0953769683837891,0.919845104217529
"21",25,0.104462146759033,0.96354603767395
"22",26,0.100756883621216,1.01713299751282
"23",27,0.10641884803772,1.06366896629333
"24",28,0.101508855819702,1.13786292076111
"25",29,0.127898931503296,1.64155983924866
"26",30,0.110615015029907,1.14952087402344
"27",31,0.112687110900879,1.13033294677734
"28",32,0.128917932510376,1.25793504714966
"29",33,0.114290952682495,1.26362586021423
"30",34,0.133110046386719,1.29175686836243
"31",35,0.158358097076416,1.46855282783508
"32",36,0.142608165740967,1.85887980461121
"33",37,0.146146774291992,1.51161193847656
"34",38,0.141593933105469,1.82439208030701
"35",39,0.143378019332886,1.70689702033997
"36",40,0.143378973007202,1.72148299217224
"37",41,0.161535024642944,1.77779102325439
"38",42,0.175511837005615,1.88624596595764
"39",43,0.28805685043335,1.92805099487305
"40",44,0.190912008285522,2.16842699050903
"41",45,0.171582937240601,2.7848219871521
"42",46,0.192058086395264,2.26153898239136
"43",47,0.195043087005615,2.96229887008667
"44",48,0.422990798950195,2.72511506080627
"45",49,0.182822942733765,2.69291996955872
"46",50,0.306523084640503,2.48493909835815
"47",51,0.204596996307373,2.68411302566528
"48",52,0.190876007080078,2.71118116378784
"49",53,0.210134029388428,2.72975993156433
"50",54,0.235363006591797,2.82574105262756
"51",55,0.20918607711792,2.96477699279785
"52",56,0.209566831588745,3.03715395927429
"53",57,0.256186962127686,3.37592101097107
"54",58,0.25344705581665,3.63166499137878
"55",59,0.273818016052246,3.3857319355011
"56",60,0.236414909362793,3.44129109382629
"57",61,0.258370876312256,3.79038500785828
"58",62,0.240595102310181,4.21942901611328
"59",63,0.280246019363403,4.27612805366516
"60",64,0.323575973510742,3.97579002380371
"61",65,0.252543926239014,4.19196319580078
"62",66,0.365199089050293,4.80524015426636
"63",67,0.383162021636963,4.59262704849243
