Observations (linear_program),Observations (ILP_program)
4.27,5935.71
1.99,8270.8
4,11927.05
1.57,5455.89
3.86,9038.51
1.75,5791.77
2.89,6511.49
1.37,10417.98
1.41,6895.33
1.59,5887.73
3.73,5743.78
1.73,9230.43
1.28,11467.57
1.85,11967.22
2.33,5311.95
1.93,6831.36
1.5,5503.88
1.13,10118.09
1.09,7503.1
2.08,6799.37
2.38,6991.29
1.69,6175.62
4.54,8174.84
3.46,6127.64
3.19,7886.95
4.13,5647.82
1.33,11917.28
2.76,8078.87
2.12,6479.5
1.83,11947.34
3.6,7023.28
2.5,11964.99
1.98,5168
1.79,5359.93
1.82,7695.02
1.9,6223.6
1.61,8366.76
1.7,5839.75
1.86,9518.32
1.46,11917.16
1.18,9968.15
2.03,6671.42
1.48,7407.13
2.2,9818.21
1.96,6735.4
4.2,6607.45
4.33,7599.06
2.29,8942.54
3.8,6639.43
1.87,6383.54
1.95,5407.91
2.46,7790.99
2.72,9668.26
1.24,3998.46
3.53,6959.31
1.39,6031.67
3.02,6927.32
4.47,11917.4
1.64,11167.69
1.35,8462.73
3.26,8750.62
1.2,7982.91
1.11,11017.74
2.55,9326.4
3.66,6271.58
3.13,6319.56
1.44,5983.69
1.92,11617.51
3.06,11317.63
1.63,7119.24
1.26,10717.86
1.77,6575.46
1.72,6543.47
1.54,6767.38
2.16,6703.41
2.97,5695.8
4.4,5599.84
4.6,8846.58
5.37,5215.99
1.67,5551.86
1.22,8654.65
1.52,11995.37
2.85,7311.17
1.89,6351.55
1.8,6415.52
2.42,6863.35
1.15,10268.03
3.33,6079.65
1.76,8558.69
3.93,10867.8
2.8,9422.36
2.59,5263.97
2.63,6447.51
2.25,11067.11
1.66,11767.45
4.07,9134.47
1.31,7087.26
2.93,7215.21
2.67,10567.92
3.4,7055.27
