"","expr","time"
"183","linear_Trees(100)",458074200
"184","linear_Trees(100)",573827800
"185","certified_ILP(100)",12146605200
"186","certified_ILP(100)",13042692400
"187","certified_ILP(100)",12994632700
"188","linear_Trees(100)",544684400
"189","linear_Trees(100)",567415700
"190","linear_Trees(100)",462787300
"191","linear_Trees(100)",558296800
"192","linear_Trees(100)",561010500
"193","linear_Trees(100)",545486700
"194","certified_ILP(100)",12225029800
"195","certified_ILP(100)",13291749000
"196","linear_Trees(100)",619559500
"197","linear_Trees(100)",604056900
"198","certified_ILP(100)",14063768400
"199","linear_Trees(100)",560678200
"200","certified_ILP(100)",11911639000
